DATE,STATION,NAME,PRCP,TAVG,TMAX,TMIN,target
2016-01-01,IN006011400,"CHANDIGARH IAFB, IN",0.0,12.6,23.4,7.8,0
2016-01-02,IN006011400,"CHANDIGARH IAFB, IN",0.0,11.8,23.4,5.8,0
2016-01-03,IN006011400,"CHANDIGARH IAFB, IN",0.0,12.7,21.3,5.5,0
2016-01-04,IN006011400,"CHANDIGARH IAFB, IN",0.0,15.4,22.6,7.2,0
2016-01-05,IN006011400,"CHANDIGARH IAFB, IN",0.0,15.5,23.7,9.8,0
2016-01-06,IN006011400,"CHANDIGARH IAFB, IN",0.0,15.8,24.0,8.9,0
2016-01-07,IN006011400,"CHANDIGARH IAFB, IN",0.0,16.2,24.0,10.2,0
2016-01-08,IN006011400,"CHANDIGARH IAFB, IN",0.0,14.9,23.1,10.2,0
2016-01-09,IN006011400,"CHANDIGARH IAFB, IN",0.0,13.8,21.6,8.0,0
2016-01-10,IN006011400,"CHANDIGARH IAFB, IN",0.0,13.6,22.6,5.8,0
2016-01-11,IN006011400,"CHANDIGARH IAFB, IN",0.0,13.8,22.7,6.8,0
2016-01-12,IN006011400,"CHANDIGARH IAFB, IN",0.0,15.1,22.7,7.7,0
2016-01-13,IN006011400,"CHANDIGARH IAFB, IN",0.5,14.6,22.5,7.7,1
2016-01-14,IN006011400,"CHANDIGARH IAFB, IN",4.1,12.0,22.0,9.4,1
2016-01-15,IN006011400,"CHANDIGARH IAFB, IN",0.0,11.2,15.2,9.8,0
2016-01-16,IN006011400,"CHANDIGARH IAFB, IN",0.0,11.6,15.0,9.8,0
2016-01-17,IN006011400,"CHANDIGARH IAFB, IN",0.0,12.7,18.6,9.8,0
2016-01-18,IN006011400,"CHANDIGARH IAFB, IN",0.0,12.6,20.4,5.6,0
2016-01-19,IN006011400,"CHANDIGARH IAFB, IN",0.0,10.4,20.4,7.0,0
2016-01-20,IN006011400,"CHANDIGARH IAFB, IN",0.0,10.4,15.7,7.7,0
2016-01-21,IN006011400,"CHANDIGARH IAFB, IN",0.0,9.0,13.5,7.7,0
2016-01-22,IN006011400,"CHANDIGARH IAFB, IN",0.0,8.1,13.7,5.2,0
2016-01-23,IN006011400,"CHANDIGARH IAFB, IN",0.0,8.7,14.7,3.2,0
2016-01-24,IN006011400,"CHANDIGARH IAFB, IN",0.0,8.2,16.0,2.1,0
2016-01-25,IN006011400,"CHANDIGARH IAFB, IN",0.0,7.9,16.0,4.4,0
2016-01-26,IN006011400,"CHANDIGARH IAFB, IN",0.0,12.0,19.9,6.6,0
2016-01-27,IN006011400,"CHANDIGARH IAFB, IN",0.0,13.3,21.2,7.1,0
2016-01-28,IN006011400,"CHANDIGARH IAFB, IN",0.0,13.8,22.0,6.6,0
2016-01-29,IN006011400,"CHANDIGARH IAFB, IN",0.0,16.4,22.7,13.3,0
2016-01-30,IN006011400,"CHANDIGARH IAFB, IN",0.0,17.5,25.7,11.2,0
2016-01-31,IN006011400,"CHANDIGARH IAFB, IN",0.0,14.2,20.0,9.0,0
2016-02-01,IN006011400,"CHANDIGARH IAFB, IN",0.0,13.5,21.0,7.6,0
2016-02-02,IN006011400,"CHANDIGARH IAFB, IN",0.0,13.3,21.0,6.2,0
2016-02-03,IN006011400,"CHANDIGARH IAFB, IN",0.0,14.8,21.3,8.2,0
2016-02-04,IN006011400,"CHANDIGARH IAFB, IN",0.0,14.3,22.7,8.3,0
2016-02-05,IN006011400,"CHANDIGARH IAFB, IN",0.0,14.3,23.3,7.7,0
2016-02-06,IN006011400,"CHANDIGARH IAFB, IN",0.0,14.9,23.3,8.2,0
2016-02-07,IN006011400,"CHANDIGARH IAFB, IN",0.5,14.9,22.5,8.2,1
2016-02-08,IN006011400,"CHANDIGARH IAFB, IN",0.0,15.0,23.6,7.6,0
2016-02-09,IN006011400,"CHANDIGARH IAFB, IN",0.0,15.7,23.5,7.8,0
2016-02-10,IN006011400,"CHANDIGARH IAFB, IN",0.0,16.7,25.1,9.2,0
2016-02-11,IN006011400,"CHANDIGARH IAFB, IN",0.0,17.6,25.1,9.2,0
2016-02-12,IN006011400,"CHANDIGARH IAFB, IN",0.0,14.2,24.2,8.2,0
2016-02-13,IN006011400,"CHANDIGARH IAFB, IN",0.0,14.8,24.2,8.2,0
2016-02-14,IN006011400,"CHANDIGARH IAFB, IN",0.0,16.2,24.7,7.6,0
2016-02-15,IN006011400,"CHANDIGARH IAFB, IN",0.0,15.5,24.8,8.8,0
2016-02-16,IN006011400,"CHANDIGARH IAFB, IN",0.0,15.2,24.8,8.3,0
2016-02-17,IN006011400,"CHANDIGARH IAFB, IN",0.0,17.0,26.6,8.1,0
2016-02-18,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.7,28.3,13.2,0
2016-02-19,IN006011400,"CHANDIGARH IAFB, IN",0.0,23.4,28.6,18.0,0
2016-02-20,IN006011400,"CHANDIGARH IAFB, IN",2.0,20.6,28.6,16.2,1
2016-02-21,IN006011400,"CHANDIGARH IAFB, IN",0.0,18.1,26.6,13.6,0
2016-02-22,IN006011400,"CHANDIGARH IAFB, IN",0.0,18.4,25.0,12.6,0
2016-02-23,IN006011400,"CHANDIGARH IAFB, IN",0.0,19.1,27.0,11.4,0
2016-02-24,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.0,27.0,13.5,0
2016-02-25,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.0,27.2,12.1,0
2016-02-26,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.5,28.9,13.1,0
2016-02-27,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.4,28.9,13.2,0
2016-02-28,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.7,28.5,13.7,0
2016-02-29,IN006011400,"CHANDIGARH IAFB, IN",0.0,21.7,28.8,14.4,0
2016-03-01,IN006011400,"CHANDIGARH IAFB, IN",0.0,21.1,29.0,13.2,0
2016-03-02,IN006011400,"CHANDIGARH IAFB, IN",0.0,22.3,30.8,14.2,0
2016-03-03,IN006011400,"CHANDIGARH IAFB, IN",0.0,22.1,30.8,14.6,0
2016-03-04,IN006011400,"CHANDIGARH IAFB, IN",0.0,23.5,31.4,14.7,0
2016-03-05,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.2,31.4,14.7,0
2016-03-06,IN006011400,"CHANDIGARH IAFB, IN",2.0,19.1,30.0,13.4,1
2016-03-07,IN006011400,"CHANDIGARH IAFB, IN",3.0,21.6,28.8,13.8,1
2016-03-08,IN006011400,"CHANDIGARH IAFB, IN",0.0,22.1,30.0,13.9,0
2016-03-09,IN006011400,"CHANDIGARH IAFB, IN",0.0,21.4,30.0,15.2,0
2016-03-10,IN006011400,"CHANDIGARH IAFB, IN",0.0,22.9,29.4,16.2,0
2016-03-11,IN006011400,"CHANDIGARH IAFB, IN",0.0,23.7,29.4,19.6,0
2016-03-12,IN006011400,"CHANDIGARH IAFB, IN",8.9,16.7,27.6,19.6,1
2016-03-13,IN006011400,"CHANDIGARH IAFB, IN",34.0,19.9,26.9,13.6,1
2016-03-14,IN006011400,"CHANDIGARH IAFB, IN",11.9,19.6,27.0,14.4,1
2016-03-15,IN006011400,"CHANDIGARH IAFB, IN",0.5,21.2,27.0,12.9,1
2016-03-16,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.2,27.0,14.0,0
2016-03-17,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.5,26.0,14.2,0
2016-03-18,IN006011400,"CHANDIGARH IAFB, IN",0.0,23.0,30.1,15.2,0
2016-03-19,IN006011400,"CHANDIGARH IAFB, IN",0.5,24.3,31.4,18.2,1
2016-03-20,IN006011400,"CHANDIGARH IAFB, IN",3.0,21.5,31.4,15.8,1
2016-03-21,IN006011400,"CHANDIGARH IAFB, IN",0.0,20.6,29.5,14.3,0
2016-03-22,IN006011400,"CHANDIGARH IAFB, IN",0.0,19.8,28.0,12.0,0
2016-03-23,IN006011400,"CHANDIGARH IAFB, IN",0.0,22.3,28.0,12.0,0
2016-03-24,IN006011400,"CHANDIGARH IAFB, IN",0.0,24.3,33.1,15.7,0
2016-03-25,IN006011400,"CHANDIGARH IAFB, IN",0.0,24.9,33.1,18.2,0
2016-03-26,IN006011400,"CHANDIGARH IAFB, IN",0.0,23.0,32.5,17.9,0
2016-03-27,IN006011400,"CHANDIGARH IAFB, IN",0.0,22.8,30.8,16.2,0
2016-03-28,IN006011400,"CHANDIGARH IAFB, IN",0.0,22.6,31.5,15.8,0
2016-03-29,IN006011400,"CHANDIGARH IAFB, IN",0.0,24.7,31.5,18.0,0
2016-03-30,IN006011400,"CHANDIGARH IAFB, IN",0.0,25.9,33.4,17.8,0
2016-03-31,IN006011400,"CHANDIGARH IAFB, IN",0.0,26.3,34.5,17.8,0
2016-04-01,IN006011400,"CHANDIGARH IAFB, IN",0.0,26.9,35.0,19.2,0
2016-04-02,IN006011400,"CHANDIGARH IAFB, IN",0.0,28.4,36.3,20.2,0
2016-04-03,IN006011400,"CHANDIGARH IAFB, IN",0.0,29.8,37.8,22.5,0
2016-04-04,IN006011400,"CHANDIGARH IAFB, IN",0.0,29.6,37.8,22.5,0
2016-04-05,IN006011400,"CHANDIGARH IAFB, IN",11.9,26.3,37.4,19.1,1
2016-04-06,IN006011400,"CHANDIGARH IAFB, IN",0.0,26.7,31.9,20.4,0
2016-04-07,IN006011400,"CHANDIGARH IAFB, IN",0.3,25.6,33.8,20.4,1
2016-04-08,IN006011400,"CHANDIGARH IAFB, IN",0.0,26.2,34.4,16.4,0
2016-04-09,IN006011400,"CHANDIGARH IAFB, IN",0.0,26.9,34.4,19.4,0
2016-04-10,IN006011400,"CHANDIGARH IAFB, IN",0.0,26.5,35.1,19.4,0
2016-04-11,IN006011400,"CHANDIGARH IAFB, IN",0.0,25.9,35.1,19.6,0
2016-04-12,IN006011400,"CHANDIGARH IAFB, IN",0.0,26.4,34.3,17.6,0
2016-04-13,IN006011400,"CHANDIGARH IAFB, IN",0.0,28.5,35.6,19.7,0
2016-04-14,IN006011400,"CHANDIGARH IAFB, IN",0.0,29.3,37.4,20.4,0
2016-04-15,IN006011400,"CHANDIGARH IAFB, IN",0.0,28.9,37.8,18.8,0
2016-04-16,IN006011400,"CHANDIGARH IAFB, IN",0.0,31.5,39.5,22.2,0
2016-04-17,IN006011400,"CHANDIGARH IAFB, IN",0.0,31.7,40.6,23.7,0
2016-04-18,IN006011400,"CHANDIGARH IAFB, IN",0.0,30.7,40.6,25.5,0
2016-04-19,IN006011400,"CHANDIGARH IAFB, IN",0.3,30.9,39.1,24.3,1
2016-04-20,IN006011400,"CHANDIGARH IAFB, IN",0.0,30.6,39.1,24.6,0
2016-04-21,IN006011400,"CHANDIGARH IAFB, IN",0.0,30.5,38.2,20.9,0
2016-04-22,IN006011400,"CHANDIGARH IAFB, IN",0.5,29.3,37.7,20.9,1
2016-04-23,IN006011400,"CHANDIGARH IAFB, IN",0.0,28.4,37.5,19.6,0
2016-04-24,IN006011400,"CHANDIGARH IAFB, IN",0.0,27.9,35.4,19.3,0
2016-04-25,IN006011400,"CHANDIGARH IAFB, IN",0.0,28.7,37.2,19.0,0
2016-04-26,IN006011400,"CHANDIGARH IAFB, IN",0.0,30.4,39.1,18.8,0
2016-04-27,IN006011400,"CHANDIGARH IAFB, IN",0.0,31.0,39.4,20.3,0
2016-04-28,IN006011400,"CHANDIGARH IAFB, IN",0.0,29.9,39.4,20.1,0
2016-04-29,IN006011400,"CHANDIGARH IAFB, IN",0.0,29.7,38.6,20.6,0
2016-04-30,IN006011400,"CHANDIGARH IAFB, IN",0.0,30.3,39.6,21.6,0
2016-05-01,IN006011400,"CHANDIGARH IAFB, IN",0.0,32.6,41.1,23.0,0
2016-05-02,IN006011400,"CHANDIGARH IAFB, IN",0.0,34.6,42.7,23.3,0
2016-05-03,IN006011400,"CHANDIGARH IAFB, IN",0.0,32.2,42.7,23.3,0
2016-05-04,IN006011400,"CHANDIGARH IAFB, IN",0.0,30.8,38.2,25.6,0
2016-05-05,IN006011400,"CHANDIGARH IAFB, IN",0.0,30.0,38.2,24.5,0
2016-05-06,IN006011400,"CHANDIGARH IAFB, IN",0.0,30.5,36.6,24.9,0
2016-05-07,IN006011400,"CHANDIGARH IAFB, IN",0.0,32.1,38.6,26.0,0
2016-05-08,IN006011400,"CHANDIGARH IAFB, IN",0.0,32.6,38.6,27.6,0
2016-05-09,IN006011400,"CHANDIGARH IAFB, IN",0.0,33.1,37.3,28.9,0
2016-05-10,IN006011400,"CHANDIGARH IAFB, IN",0.0,30.3,37.8,28.9,0
2016-05-11,IN006011400,"CHANDIGARH IAFB, IN",21.1,28.5,37.8,20.5,1
2016-05-12,IN006011400,"CHANDIGARH IAFB, IN",0.0,31.2,37.2,23.2,0
2016-05-13,IN006011400,"CHANDIGARH IAFB, IN",0.0,32.3,39.8,23.2,0
2016-05-14,IN006011400,"CHANDIGARH IAFB, IN",0.8,32.9,40.3,24.0,1
2016-05-15,IN006011400,"CHANDIGARH IAFB, IN",0.0,33.4,41.2,24.0,0
2016-05-16,IN006011400,"CHANDIGARH IAFB, IN",0.0,33.2,41.4,23.7,0
2016-05-17,IN006011400,"CHANDIGARH IAFB, IN",0.0,33.7,42.0,25.0,0
2016-05-18,IN006011400,"CHANDIGARH IAFB, IN",0.0,36.6,43.1,24.7,0
