time,temp_mean,temp_max,temp_min,wind_dir,humidity,pressure,wind_gusts,precip_sum,rain_sum,target
1940-01-01,13.7,23.7,5.8,323.0,24.0,988.8,15.1,0.0,0.0,0
1940-01-02,13.7,23.7,5.8,323.0,24.0,988.8,15.1,0.0,0.0,0
1940-01-03,13.8,23.9,5.5,316.0,24.0,989.3,15.6,0.0,0.0,0
1940-01-04,14.1,24.2,8.0,312.0,17.0,987.0,19.2,0.0,0.0,0
1940-01-05,13.6,23.8,7.6,329.0,20.0,986.6,12.1,0.0,0.0,0
1940-01-06,13.3,23.9,6.4,321.0,20.0,985.5,13.1,0.0,0.0,0
1940-01-07,13.3,24.2,5.2,333.0,22.0,985.9,14.0,0.0,0.0,0
1940-01-08,15.1,24.7,8.2,311.0,20.0,983.4,21.4,0.0,0.0,0
1940-01-09,14.5,24.6,6.8,304.0,21.0,981.4,16.7,0.0,0.0,0
1940-01-10,14.5,24.0,5.7,99.0,27.0,982.6,13.1,0.0,0.0,0
1940-01-11,15.5,22.2,10.6,113.0,30.0,984.4,20.9,0.0,0.0,0
1940-01-12,17.0,24.6,10.0,116.0,28.0,985.0,13.9,0.0,0.0,0
1940-01-13,16.4,26.2,10.2,18.0,33.0,984.8,14.6,0.0,0.0,0
1940-01-14,15.4,24.7,7.3,312.0,31.0,983.3,15.1,0.0,0.0,0
1940-01-15,16.7,24.8,9.2,324.0,30.0,983.4,20.7,0.0,0.0,0
1940-01-16,17.2,25.0,10.8,308.0,37.0,980.6,20.9,0.0,0.0,0
1940-01-17,16.2,22.8,12.2,291.0,50.0,979.2,14.7,4.1,4.1,1
1940-01-18,12.6,14.1,11.9,109.0,87.0,979.5,40.8,35.2,35.2,1
1940-01-19,12.7,15.5,11.4,123.0,90.0,983.4,24.2,13.5,13.5,1
1940-01-20,12.7,18.2,8.9,97.0,87.0,986.9,12.0,0.9,0.9,1
1940-01-21,12.4,18.2,8.0,313.0,80.0,986.7,18.6,0.0,0.0,0
1940-01-22,11.8,18.3,7.3,308.0,71.0,986.0,21.7,0.0,0.0,0
1940-01-23,11.3,18.9,5.8,309.0,71.0,985.6,15.8,0.0,0.0,0
1940-01-24,11.0,19.2,4.9,318.0,68.0,985.8,13.6,0.0,0.0,0
1940-01-25,11.5,19.6,4.6,325.0,62.0,986.8,14.6,0.0,0.0,0
1940-01-26,11.7,19.7,4.9,282.0,68.0,984.0,12.8,0.5,0.5,1
1940-01-27,11.7,15.6,9.1,114.0,82.0,986.2,15.4,2.3,2.3,1
1940-01-28,12.2,18.5,8.1,330.0,77.0,985.3,12.6,0.2,0.2,1
1940-01-29,11.5,18.3,6.1,317.0,74.0,985.3,13.3,0.0,0.0,0
1940-01-30,11.9,16.9,7.1,116.0,77.0,984.3,19.1,7.4,7.4,1
1940-01-31,13.5,19.3,9.7,113.0,84.0,984.9,17.8,4.7,4.7,1
1940-02-01,13.7,19.4,9.7,311.0,82.0,984.3,19.1,0.0,0.0,0
1940-02-02,13.1,19.6,8.1,112.0,82.0,982.1,16.9,3.8,3.8,1
1940-02-03,13.2,16.8,11.5,129.0,84.0,981.6,24.3,21.5,21.5,1
1940-02-04,12.7,16.5,9.0,327.0,87.0,983.9,15.0,1.8,1.8,1
1940-02-05,11.9,18.3,5.9,318.0,77.0,983.6,13.7,1.6,1.6,1
1940-02-06,10.6,13.7,8.0,110.0,88.0,984.0,16.8,17.7,17.7,1
1940-02-07,10.2,16.9,5.7,344.0,85.0,986.7,10.9,0.0,0.0,0
1940-02-08,10.6,16.0,7.6,145.0,84.0,984.2,10.3,0.1,0.1,1
1940-02-09,11.2,17.9,6.0,103.0,85.0,984.0,15.5,4.5,4.5,1
1940-02-10,10.3,16.0,6.4,56.0,86.0,981.4,15.4,5.4,5.4,1
1940-02-11,9.0,15.7,3.7,347.0,85.0,986.2,11.5,0.0,0.0,0
1940-02-12,11.0,17.5,5.4,314.0,72.0,989.7,15.9,0.0,0.0,0
1940-02-13,11.4,18.1,6.2,313.0,61.0,989.4,22.3,0.0,0.0,0
1940-02-14,12.0,19.2,7.3,310.0,60.0,987.4,21.4,0.0,0.0,0
1940-02-15,12.6,20.8,7.1,312.0,67.0,987.3,14.9,0.0,0.0,0
1940-02-16,13.9,22.4,7.0,319.0,70.0,988.0,15.3,0.0,0.0,0
1940-02-17,15.7,23.7,9.0,320.0,62.0,988.0,20.8,0.0,0.0,0
1940-02-18,16.2,23.8,9.7,327.0,56.0,986.1,19.1,0.0,0.0,0
1940-02-19,16.1,23.1,10.1,320.0,53.0,986.0,19.8,0.0,0.0,0
1940-02-20,17.0,24.9,12.2,320.0,55.0,984.5,20.3,0.0,0.0,0
1940-02-21,16.6,25.1,10.1,17.0,66.0,985.4,15.0,0.0,0.0,0
1940-02-22,17.0,25.0,10.0,356.0,65.0,983.5,11.2,0.0,0.0,0
1940-02-23,17.2,26.2,10.4,40.0,64.0,982.8,9.6,0.0,0.0,0
1940-02-24,17.2,26.1,9.7,106.0,65.0,982.7,13.4,0.0,0.0,0
1940-02-25,18.1,26.5,11.2,80.0,64.0,983.1,14.8,0.0,0.0,0
1940-02-26,17.8,27.4,10.1,359.0,63.0,980.7,13.7,0.0,0.0,0
1940-02-27,18.3,28.3,10.8,348.0,55.0,977.8,12.8,0.0,0.0,0
1940-02-28,20.0,29.6,12.6,139.0,49.0,975.3,17.1,0.0,0.0,0
1940-02-29,20.9,29.0,15.8,127.0,49.0,975.2,28.4,0.0,0.0,0
1940-03-01,19.4,27.3,13.3,133.0,55.0,980.1,18.8,0.0,0.0,0
1940-03-02,18.9,27.1,12.9,92.0,50.0,979.6,14.6,0.0,0.0,0
1940-03-03,18.1,27.3,9.6,320.0,37.0,978.0,18.6,0.0,0.0,0
1940-03-04,18.5,27.1,11.7,335.0,33.0,977.3,21.2,0.0,0.0,0
1940-03-05,18.0,26.7,10.2,336.0,34.0,976.5,14.9,0.0,0.0,0
1940-03-06,17.7,26.9,8.6,33.0,39.0,976.5,13.9,0.0,0.0,0
1940-03-07,18.8,27.7,11.5,67.0,38.0,977.5,15.2,0.0,0.0,0
1940-03-08,19.4,27.1,10.5,345.0,35.0,980.0,21.7,0.0,0.0,0
1940-03-09,20.3,27.5,15.7,86.0,33.0,981.1,20.7,0.0,0.0,0
1940-03-10,17.2,21.6,14.9,80.0,58.0,981.4,21.7,3.4,3.4,1
1940-03-11,16.8,22.3,13.7,110.0,80.0,981.1,21.8,5.9,5.9,1
1940-03-12,17.2,22.7,14.0,107.0,81.0,980.7,14.8,13.0,13.0,1
1940-03-13,18.8,25.5,11.2,281.0,70.0,980.6,11.2,0.0,0.0,0
1940-03-14,20.3,28.4,12.6,280.0,56.0,980.8,16.8,0.1,0.1,1
